Ensembl ID	Gene name	logFC	H3K79me2 GB Coverage
ENSMUSG00000001228	Uhrf1	-0.94929734251682	0.323713
ENSMUSG00000022215	Fitm1	-0.947187904657511	0.7066515
ENSMUSG00000046997	Spsb4	-0.944116904489717	0.7052625
ENSMUSG00000026646	Suv39h2	-0.942003076678522	0.356429
ENSMUSG00000035936	Aldh5a1	-0.939742957027983	0.2179635
ENSMUSG00000017861	Mybl2	-0.933827128603671	0.13209105
ENSMUSG00000030987	Stim1	-0.931210709132356	0.061992
ENSMUSG00000037020	Wdr62	-0.931098361059552	0.0252594
ENSMUSG00000027323	Rad51	-0.926539529122347	0.0467925
ENSMUSG00000024053	Emilin2	-0.926382416988775	0.515241
ENSMUSG00000086564	Cd101	-0.922388113862264	0.0710835
ENSMUSG00000020275	Rel	-0.921569632357777	0.2836715
ENSMUSG00000046591	Ticrr	-0.920637502638262	0.0938925499999999
ENSMUSG00000002870	Mcm2	-0.920159482389019	0.3935455
ENSMUSG00000033419	Snap91	-0.919602591662355	0.4412675
ENSMUSG00000027454	Gins1	-0.913848675686901	0.1357754
ENSMUSG00000021944	Gata4	-0.913469370682834	0.734324
ENSMUSG00000068745	Mybphl	-0.911246584858286	0.1156994
ENSMUSG00000074220	Zfp382	-0.907947358129443	0.4844725
ENSMUSG00000026623	Lpgat1	-0.905649636786949	0.473262
ENSMUSG00000055027	Smyd1	-0.902247563096204	0.335974
ENSMUSG00000036698	Ago2	-0.901884825711595	0.6172325
ENSMUSG00000022385	Gtse1	-0.899898160053266	0.3788405
ENSMUSG00000042489	Clspn	-0.894491734795661	0.08242045
ENSMUSG00000040204	Pclaf	-0.887725561300139	0.4
ENSMUSG00000031683	Lsm6	-0.886822841586205	0.452138
ENSMUSG00000054640	Slc8a1	-0.882366832081734	0.636124
ENSMUSG00000032224	Fam81a	-0.87989264045535	0.169777999999999
ENSMUSG00000027692	Tnik	-0.875943766047958	0.2689455
ENSMUSG00000035232	Pdk3	-0.873072986246982	0.278393
ENSMUSG00000038994	Hils1	-0.871091087978694	0.126736
ENSMUSG00000020658	Efr3b	-0.867048860064667	0.2652305
ENSMUSG00000087249	Gm16062	-0.865683768076624	0.15103405
ENSMUSG00000061607	Mdc1	-0.864639027191048	0.2111975
ENSMUSG00000032058	Ppp2r1b	-0.863648050646415	0.208056499999999
ENSMUSG00000028318	Polr1e	-0.863507280716548	0.4379695
ENSMUSG00000022463	Srebf2	-0.863160808210989	0.436940499999999
ENSMUSG00000086266	Igf2os	-0.862826726301245	0.4678355
ENSMUSG00000003534	Ddr1	-0.859662217115031	0.6333765
ENSMUSG00000032113	Chek1	-0.856832280582027	0.0792885
ENSMUSG00000005410	Mcm5	-0.856126689896082	0.239335499999999
ENSMUSG00000020461	Clhc1	-0.855714904380113	0.012131
ENSMUSG00000034593	Myo5a	-0.853728644756297	0.223047
ENSMUSG00000058290	Espl1	-0.853575944257994	0.1548485
ENSMUSG00000059323	Tonsl	-0.84951453383754	0.0542379999999999
ENSMUSG00000029771	Irf5	-0.849199866547324	0.10900515
ENSMUSG00000019789	Hey2	-0.849073226604842	0.722637
ENSMUSG00000053214	Gm9899	-0.846424400654839	0.1443995
ENSMUSG00000002835	Chaf1a	-0.845144674674585	0.358168
ENSMUSG00000049551	Fzd9	-0.840050787583341	0.499128
ENSMUSG00000026380	Tfcp2l1	-0.839382502979572	0.00846675
ENSMUSG00000029414	Kntc1	-0.839199872832999	0.0
ENSMUSG00000068101	Cenpm	-0.835640114012227	0.08477685
ENSMUSG00000040658	Dnph1	-0.834888805584626	0.212423
ENSMUSG00000039197	Adk	-0.833155370748634	0.4280155
ENSMUSG00000026675	Hsd17b7	-0.83208951060697	0.01456335
ENSMUSG00000025026	Add3	-0.830607420760417	0.602101999999999
ENSMUSG00000030978	Rrm1	-0.825777563560945	0.3492005
ENSMUSG00000029576	Radil	-0.824493150321073	0.3210685
ENSMUSG00000062510	Nsl1	-0.824352683067157	0.335933
ENSMUSG00000001604	Tcea3	-0.82325782935797	0.176426499999999
ENSMUSG00000039994	Timeless	-0.821979517743847	0.18494
ENSMUSG00000076372	Mir568	-0.820722532376833	0.0
ENSMUSG00000028587	Orc1	-0.820306387939371	0.218336
ENSMUSG00000039376	Synpo2l	-0.820074363358089	0.6925285
ENSMUSG00000065649	Snora74a	-0.819193808068512	0.522959
ENSMUSG00000032436	Cmtm7	-0.816262929046417	0.465509
ENSMUSG00000050192	Eif5a2	-0.816138329773618	0.148170499999999
ENSMUSG00000031790	Mmp15	-0.815981391906524	0.7280275
ENSMUSG00000017146	Brca1	-0.813938941933248	0.06204905
ENSMUSG00000073700	Klhl21	-0.813536714995083	0.659157
ENSMUSG00000026628	Atf3	-0.813353737979327	0.0349154
ENSMUSG00000054074	Skida1	-0.812446153140735	0.6953795
ENSMUSG00000032034	Kcnj5	-0.810332723621962	0.6533195
ENSMUSG00000022788	Fgd4	-0.809741980609127	0.2436815
ENSMUSG00000049796	Crh	-0.809563436890286	0.1312627
ENSMUSG00000044966	Fbxo48	-0.808675555679553	0.499558499999999
ENSMUSG00000060913	Trim55	-0.805885474882209	0.651497
ENSMUSG00000036863	Syde2	-0.80314704807828	0.724838
ENSMUSG00000005470	Asf1b	-0.802071450570161	0.495984
ENSMUSG00000029217	Tec	-0.801882914324493	0.377062
ENSMUSG00000018845	Unc45b	-0.801248618159625	0.4571895
ENSMUSG00000041859	Mcm3	-0.798309142187603	0.2997115
ENSMUSG00000021175	Cdca7l	-0.797315346189343	0.103469499999999
ENSMUSG00000023345	Poc1a	-0.797284528003495	0.07209785
ENSMUSG00000026739	Bmi1	-0.797227281969936	0.3986165
ENSMUSG00000068699	Flnc	-0.796926691424441	0.447883
ENSMUSG00000085156	Snhg15	-0.796079935502714	0.681091
ENSMUSG00000022351	Sqle	-0.79584495192889	0.357781
ENSMUSG00000029246	Ppat	-0.794678531672846	0.4304065
ENSMUSG00000022828	Gtf2e1	-0.792638536513385	0.5678
ENSMUSG00000053819	Camk2d	-0.792193325004002	0.60017
ENSMUSG00000039384	Dusp10	-0.791624281705166	0.435462
ENSMUSG00000063445	Nmral1	-0.791257532933318	0.231179
ENSMUSG00000027496	Aurka	-0.790470286900801	0.575701
ENSMUSG00000022360	Atad2	-0.789495801125549	0.3356805
ENSMUSG00000039741	Bahcc1	-0.789383608384097	0.4698735
ENSMUSG00000004698	Hdac9	-0.789116569449546	0.03698205
ENSMUSG00000020646	Mboat2	-0.785204860795714	0.4600655
ENSMUSG00000036611	Eepd1	-0.784876679521172	0.525929
ENSMUSG00000032815	Fanca	-0.784224666824072	0.0065338
ENSMUSG00000012609	Ttll5	-0.783225426209162	0.08481265
ENSMUSG00000064202	4430402I18Rik	-0.779963659749679	0.050997
ENSMUSG00000036304	Zdhhc23	-0.779469185060863	0.0250017
ENSMUSG00000020185	E2f7	-0.779278270650989	0.13761745
ENSMUSG00000030108	Slc6a13	-0.779093077029189	0.0
ENSMUSG00000028068	Iqgap3	-0.776166117450907	0.1457215
ENSMUSG00000062661	Ncs1	-0.772328805511074	0.476688
ENSMUSG00000041235	Chd7	-0.770863395650175	0.584556499999999
ENSMUSG00000027201	Myef2	-0.769715749362442	0.4127815
ENSMUSG00000031714	Gab1	-0.769170326721338	0.679963
ENSMUSG00000019817	Plagl1	-0.769109440597727	0.3359135
ENSMUSG00000046182	Gsg1l	-0.768386631030813	0.270942
ENSMUSG00000025001	Hells	-0.765167642646131	0.22549
ENSMUSG00000000628	Hk2	-0.763315606340402	0.523336
ENSMUSG00000030213	Atf7ip	-0.763190246258086	0.4750135
ENSMUSG00000025507	Pidd1	-0.762633354380734	0.2493655
ENSMUSG00000015846	Rxra	-0.762361566138155	0.6554125
ENSMUSG00000050541	Adra1b	-0.762103838549315	0.10735335
ENSMUSG00000059743	Fdps	-0.759796329709004	0.17892975
ENSMUSG00000054793	Cadm4	-0.759763610098415	0.0162544
ENSMUSG00000061315	Naca	-0.758946384117642	0.7220775
ENSMUSG00000032739	Pram1	-0.758767365080004	0.1737685
ENSMUSG00000087993	Mir1982	-0.758361382060394	0.5675675
ENSMUSG00000038463	Olfml2b	-0.758301976510563	0.666344
ENSMUSG00000034312	Iqsec1	-0.757848328362851	0.54847
ENSMUSG00000041064	Pif1	-0.757345312972393	0.3194255
ENSMUSG00000001741	Il16	-0.757311440936733	0.0
ENSMUSG00000028066	Pmf1	-0.755525456220211	0.55686
ENSMUSG00000026558	Uck2	-0.754464719186151	0.6150745
ENSMUSG00000033214	Slitrk5	-0.752868226391569	0.6531385
ENSMUSG00000024501	Dpysl3	-0.752062583548687	0.557722
ENSMUSG00000013629	Cad	-0.751702034283894	0.01734175
ENSMUSG00000031880	Rrad	-0.751425823354155	0.782688499999999
ENSMUSG00000025912	Mybl1	-0.75011276097336	0.04884895
ENSMUSG00000022951	Rcan1	-0.749939486309101	0.597059999999999
ENSMUSG00000040978	Gm11992	-0.749548227922259	0.2272555
ENSMUSG00000069171	Nr2f1	-0.74917983542052	0.2728325
ENSMUSG00000106252	Mir684-1	-0.748879408731975	0.0
ENSMUSG00000026355	Mcm6	-0.748451761078069	0.19553
ENSMUSG00000038544	Inip	-0.748437716607685	0.234704
ENSMUSG00000041147	Brca2	-0.748436753152328	0.01912995
ENSMUSG00000021567	Nkd2	-0.748247530828107	0.188105499999999
ENSMUSG00000021375	Kif13a	-0.748176434928536	0.4357015
ENSMUSG00000029687	Ezh2	-0.747291239473427	0.402466
ENSMUSG00000033105	Lss	-0.744223317727907	0.08408655
ENSMUSG00000022686	B3gnt5	-0.74403337894087	0.373944
ENSMUSG00000018983	E2f2	-0.742355279823492	0.14112165
ENSMUSG00000022945	Chaf1b	-0.742243540257098	0.0332883
ENSMUSG00000026620	Mark1	-0.741951684590045	0.2975425
ENSMUSG00000005251	Ripk4	-0.741564412726616	0.352734
ENSMUSG00000016758	Bik	-0.740680718329261	0.641141
ENSMUSG00000005667	Mthfd2	-0.737502079534125	0.0665743999999999
ENSMUSG00000056367	Actr3b	-0.736872657619263	0.350902
ENSMUSG00000036832	Lpar3	-0.735822857674762	0.702579
ENSMUSG00000007080	Pole	-0.734399790120045	0.0
ENSMUSG00000040985	Sun3	-0.732099250633034	0.1753905
ENSMUSG00000021252	Erg28	-0.730472178003211	0.4724815
ENSMUSG00000009418	Nav1	-0.729582309939676	0.3557365
ENSMUSG00000044216	Kcnj4	-0.727040302819272	0.3235085
ENSMUSG00000040084	Bub1b	-0.726498564272409	0.326076
ENSMUSG00000029730	Mcm7	-0.726002208575225	0.4147955
ENSMUSG00000062312	Erbb2	-0.725451073978095	0.4985935
ENSMUSG00000026274	Pask	-0.725433742205832	0.05744245
ENSMUSG00000025665	Rps6ka6	-0.725389081534932	0.0
ENSMUSG00000075324	Fign	-0.724360303131798	0.6185395
ENSMUSG00000051413	Plagl2	-0.724295016867682	0.545837
ENSMUSG00000031604	Msmo1	-0.723509618644149	0.4140475
ENSMUSG00000074652	Myh7b	-0.722725662738918	0.60071
ENSMUSG00000032258	Lca5	-0.721832473247402	0.3520505
ENSMUSG00000045287	Rtn4rl1	-0.720843151743028	0.6783155
ENSMUSG00000039904	Gpr37	-0.720828499163346	0.13835925
ENSMUSG00000034773	Hrob	-0.719993335335076	0.2380415
ENSMUSG00000039055	Eme1	-0.719779777953826	0.0
ENSMUSG00000078937	Cpt1b	-0.719595937754074	0.708796
ENSMUSG00000063804	Lin28b	-0.717997662728605	0.180431
ENSMUSG00000031756	Cenpn	-0.717205634131863	0.04348265
ENSMUSG00000053093	Myh7	-0.71697561226508	0.7071795
ENSMUSG00000037572	Wdhd1	-0.716936357198948	0.192418
ENSMUSG00000071708	Sms	-0.716642906840661	0.431875
ENSMUSG00000004880	Lbr	-0.715669245765784	0.356236
ENSMUSG00000056394	Lig1	-0.715663726698147	0.01450905
ENSMUSG00000029591	Ung	-0.715644033296348	0.624244999999999
ENSMUSG00000022034	Esco2	-0.715544120071485	0.405362
ENSMUSG00000070583	Fv1	-0.715440244846973	0.7264495
ENSMUSG00000033257	Ttll4	-0.715249366780623	0.228231
ENSMUSG00000071369	Map3k5	-0.715041689503673	0.3248985
ENSMUSG00000044026	Slc35g1	-0.713872900473178	0.295556
ENSMUSG00000037012	Hk1	-0.71374853053724	0.36448
ENSMUSG00000022422	Dscc1	-0.713267441125595	0.03199475
ENSMUSG00000000631	Myo18a	-0.713105921595884	0.587278
ENSMUSG00000021221	Dpf3	-0.71113291698501	0.508156
ENSMUSG00000030609	Aen	-0.710892452604063	0.2069875
ENSMUSG00000041817	Fam169a	-0.710332668438921	0.187516
ENSMUSG00000047146	Tet1	-0.709623251591969	0.3859345
ENSMUSG00000070570	Slc17a7	-0.708967161262115	0.0
ENSMUSG00000061048	Cdh3	-0.708956895385088	0.362876
ENSMUSG00000028023	Pitx2	-0.708334514628839	0.07796465
ENSMUSG00000037461	Ints7	-0.707367980991104	0.311417
ENSMUSG00000026430	Rassf5	-0.707263922540951	0.418575
ENSMUSG00000004748	Mtfp1	-0.707231137409183	0.273449
ENSMUSG00000019214	Chtf18	-0.706830046712076	0.0953025
ENSMUSG00000074682	Zcchc3	-0.705999897912247	0.783762
ENSMUSG00000055296	Tmem245	-0.70526700149099	0.408489
ENSMUSG00000034883	Lrr1	-0.704567148976916	0.2845725
ENSMUSG00000022436	Sh3bp1	-0.704437134837795	0.198550999999999
ENSMUSG00000023908	Pkmyt1	-0.703994575286924	0.299279
ENSMUSG00000019863	Qrsl1	-0.702050439975619	0.1315226
ENSMUSG00000031824	6430548M08Rik	-0.701993636528827	0.3510605
ENSMUSG00000047757	Fancb	-0.700400515582899	0.053684
ENSMUSG00000034926	Dhcr24	-0.698774155263756	0.3782235
ENSMUSG00000048251	Bcl11b	-0.697787124300697	0.4449305
ENSMUSG00000038759	Nup205	-0.697263528142123	0.16140835
ENSMUSG00000039187	Fanci	-0.696528540613941	0.0
ENSMUSG00000063810	Alms1	-0.696248573068267	0.024496
ENSMUSG00000064127	Med14	-0.695679614536725	0.358450999999999
ENSMUSG00000038252	Ncapd2	-0.695036655519771	0.4901455
ENSMUSG00000042148	Cox10	-0.694597174234504	0.5018445
ENSMUSG00000030091	Nup210	-0.694508999884331	0.14699005
ENSMUSG00000109511	Nup62	-0.693757610471712	0.778336
ENSMUSG00000020577	Tspan13	-0.693274376286028	0.461047
ENSMUSG00000038663	Fsd2	-0.692518277448703	0.488822
ENSMUSG00000038279	Nop2	-0.690747949878241	0.450564
ENSMUSG00000022021	Diaph3	-0.689105644212963	0.07250825
ENSMUSG00000015749	Anp32e	-0.689105075166278	0.6266185
ENSMUSG00000004099	Dnmt1	-0.688801629247718	0.2074125
ENSMUSG00000049396	Gemin4	-0.688695452843804	0.413025
ENSMUSG00000028479	Gne	-0.688654859644281	0.171467
ENSMUSG00000021048	Mthfd1	-0.68858727201845	0.216785999999999
ENSMUSG00000008318	Relt	-0.688299578091773	0.328409
ENSMUSG00000042215	Bag2	-0.687916275729617	0.6056695
ENSMUSG00000027030	Stk39	-0.6877640836743	0.523932
ENSMUSG00000036591	Arhgap21	-0.687607322966609	0.5752255
ENSMUSG00000032939	Nup93	-0.687596710038154	0.4166165
ENSMUSG00000021978	Extl3	-0.686855726389188	0.577641
ENSMUSG00000079043	Fastkd5	-0.686278140824291	0.4675065
ENSMUSG00000002068	Ccne1	-0.686263689709175	0.2028585
ENSMUSG00000032786	Alas1	-0.684774218877619	0.248191
ENSMUSG00000022456	Septin3	-0.684284604453301	0.0
ENSMUSG00000022391	Rangap1	-0.684033075038171	0.228835
ENSMUSG00000028977	Casz1	-0.683928438212679	0.7200335
ENSMUSG00000057406	Nsd2	-0.683209481700627	0.4648485
ENSMUSG00000024617	Camk2a	-0.683002695435569	0.215791
ENSMUSG00000001053	N4bp3	-0.682511788354035	0.3947945
ENSMUSG00000024824	Rad9a	-0.68235219913281	0.4719345
ENSMUSG00000024077	Strn	-0.68130471692079	0.60947
ENSMUSG00000073557	Ppp1r12b	-0.68113749744007	0.4621905
ENSMUSG00000028358	Zfp618	-0.680668372700856	0.2445905
ENSMUSG00000028033	Kcnq5	-0.680601430812027	0.1888155
ENSMUSG00000052512	Nav2	-0.680107580244718	0.255965
ENSMUSG00000041498	Kif14	-0.680005213003535	0.0597445
ENSMUSG00000021773	Comtd1	-0.679622850276779	0.512648
ENSMUSG00000026853	Crat	-0.679256555888464	0.470312
ENSMUSG00000001517	Foxm1	-0.678066199644319	0.403375999999999
ENSMUSG00000005774	Rfx5	-0.677187103831834	0.0989045
ENSMUSG00000075307	Klhl41	-0.675417152762978	0.356176
ENSMUSG00000025795	Rassf3	-0.675005763078127	0.672475
ENSMUSG00000019864	Rtn4ip1	-0.674685088262366	0.1904505
ENSMUSG00000023832	Acat2	-0.674062393197225	0.0880558
ENSMUSG00000055612	Cdca7	-0.673625691858202	0.391849
ENSMUSG00000002055	Spag5	-0.672842872010334	0.2848205
ENSMUSG00000105911	Snora16a	-0.672426271147067	0.5
ENSMUSG00000027544	Nfatc2	-0.671635760998914	0.3838505
ENSMUSG00000036777	Anln	-0.668939308386711	0.250564
ENSMUSG00000054115	Skp2	-0.668762154238867	0.3335445
ENSMUSG00000026991	Pkp4	-0.66670814387863	0.558163
ENSMUSG00000022881	Rfc4	-0.664862177522569	0.2875315
ENSMUSG00000029283	Cdc7	-0.664304932795701	0.223882499999999
ENSMUSG00000079243	Xirp1	-0.664192687586223	0.7496955
ENSMUSG00000036022	Fam122b	-0.662405531008071	0.2505965
ENSMUSG00000031826	Usp10	-0.661978596791165	0.561842
ENSMUSG00000020974	Pole2	-0.661854814695551	0.09698
ENSMUSG00000025384	Faap100	-0.661194168932732	0.5124615
ENSMUSG00000000861	Bcl11a	-0.66097602408776	0.649472
ENSMUSG00000004085	Map3k20	-0.660850174791264	0.4640385
ENSMUSG00000027177	Hipk3	-0.6606651805449	0.654864
ENSMUSG00000030067	Foxp1	-0.66000787728336	0.368951
ENSMUSG00000032783	Troap	-0.659214900186281	0.379174
ENSMUSG00000038910	Plcl2	-0.658994687403589	0.464603
ENSMUSG00000014592	Camta1	-0.658572406604411	0.05335105
ENSMUSG00000026192	Atic	-0.658290805089071	0.2203545
ENSMUSG00000033222	Ttf2	-0.656751391775618	0.02283795
ENSMUSG00000046027	Stard5	-0.656204090689556	0.244248499999999
ENSMUSG00000026605	Cenpf	-0.655009926975444	0.342874
ENSMUSG00000023015	Racgap1	-0.654974769168251	0.4151185
ENSMUSG00000030869	Ndufab1	-0.654159794881819	0.568157
ENSMUSG00000021868	Ppif	-0.653990200300413	0.616627
ENSMUSG00000034349	Smc4	-0.653459886993414	0.50614
ENSMUSG00000028347	Tmeff1	-0.653255601584404	0.4380305
ENSMUSG00000068747	Sort1	-0.652635299826072	0.31575
ENSMUSG00000034165	Ccnd3	-0.650916814797392	0.188897999999999
ENSMUSG00000031383	Dusp9	-0.650890719153251	0.0
ENSMUSG00000022867	Usp25	-0.650194331042065	0.361765499999999
ENSMUSG00000024966	Stip1	-0.650156770669512	0.3680575
ENSMUSG00000044340	Phlpp1	-0.649060533139938	0.5235645
ENSMUSG00000045751	Mms22l	-0.648602389657572	0.1422862
ENSMUSG00000023004	Tuba1b	-0.64777528495068	0.671601
ENSMUSG00000028438	Kif24	-0.647658304812391	0.1282455
ENSMUSG00000021707	Dhfr	-0.647540076292246	0.0389769
ENSMUSG00000029651	Mtus2	-0.647388275657447	0.08876905
ENSMUSG00000033762	Recql4	-0.647328621450313	0.01593765
ENSMUSG00000022033	Pbk	-0.646587870178231	0.566369
ENSMUSG00000116207	Nnt	-0.6456451074289	0.3521215
ENSMUSG00000016028	Celsr1	-0.645250671720977	0.308202
